line_name, wavelength, text_name
OII_3727, 3.727000000000000164e+03, '[O II]'
H11, 3.770630000000000109e+03, 'H11'
H10, 3.797900000000000091e+03, 'H10'
H9, 3.835380000000000109e+03, 'H9'
NeIII_3868, 3.868750000000000000e+03, '[Ne III]'
HeI_3888, 3.888650000000000091e+03, 'He I'
HeI_3970, 3.970070000000000164e+03, 'He I'
HeI_4026,  4.026210000000000036e+03, 'He I'
SII_4068, 4.068599999999999909e+03, '[S II']
SII_4076, 4.076349999999999909e+03, '[S II']
Hd, 4.101739999999999782e+03, 'H$\delta$'
Hg, 4.340470000000000255e+03, 'H$\gamma$'
OIII_4363, 4.363210000000000036e+03, '[O III]'
HeI_4471, 4.471500000000000000e+03, 'He I'
Hb, 4.861329999999999927e+03, 'H$\beta$'
OIII_4959, 4.958909999999999854e+03, '[O III]'
OIII_5007, 5.006840000000000146e+03, '[O III]'
NII_5755, 5.754640000000000327e+03, '[N II]'
HeI_5875, 5.875659999999999854e+03, 'He I'
SII_6312, 6.312100000000000364e+03, '[S II]'
OI_6364, 6.363779999999999745e+03, '[O I]'
NII_6548, 6.548100000000000364e+03, '[N II]'
Ha, 6.562770000000000437e+03, 'H$\alpha$'
NII_6584, 6.583500000000000000e+03, '[N II]'
HeI_6678, 6.678149999999999636e+03, 'He I'
SII_6716, 6.716439999999999600e+03, '[S II]'
SII_6731, 6.730819999999999709e+03, '[S II]'
ArIII_7136, 7.135800000000000182e+03, '[Ar III]'
OII_7319, 7.319449999999999818e+03, '[O II]'
OII_7330, 7.330199999999999818e+03, '[O II]'
ArIII_7751, 7.751430000000000291e+03, '[Ar III]'
Pa11, 8.862790000000000873e+03, 'Pa11'
Pa10, 9.014909999999999854e+03, 'Pa10'
SIII_9069, 9.068600000000000364e+03, '[S III]'
